"NAME||','||ATTRIB_02||','||ATTRIB_12||','||ATTRIB_13||','||IF_ROW_STAT||','||ATTRIB_26"
"1-8981491,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-9296891,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-9293951,Decided,05-OCT-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2144261,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2148201,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2167102,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2227451,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2609021,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2835451,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-5737847,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-10680701,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-11088181,Decided,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2096727,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2143027,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2138481,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2156681,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2164424,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2153471,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2211533,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-2211641,Pending,15-SEP-14,16-OCT-14,SUCCESSFUL,16-OCT-14"
"1-68928301,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-68928901,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-69989003,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-66463911,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
"1-41215071,,01-SEP-14,16-OCT-14,VALIDATION_FAILED,"
